id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,liveness,instrumentalness,duration_sec
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,82,2020,0.08,0.02,195
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,58,2020,0.12,0.85,182
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,70,2000,0.22,0.04,228
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,45,2020,0.08,0.90,174
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,88,2010,0.06,0.01,210
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,42,2010,0.07,0.92,312
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,55,1990,0.35,0.15,258
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,64,2010,0.09,0.62,245
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,52,2020,0.10,0.88,168
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,68,2010,0.14,0.03,214
11,Deep End,Hollow Throne,metal,intense,0.97,168,0.22,0.44,0.04,62,2000,0.18,0.05,276
12,Golden Hour Drive,Mara Wills,country,relaxed,0.50,96,0.78,0.61,0.73,66,2010,0.20,0.08,222
13,Slow Burn,Velvet Ache,r&b,romantic,0.55,88,0.74,0.69,0.48,74,2010,0.11,0.04,238
14,Ghost Protocol,Static Drift,electronic,moody,0.84,140,0.38,0.85,0.07,61,2010,0.06,0.78,268
15,River Delta Blues,Clarence Holt,blues,melancholic,0.44,72,0.31,0.48,0.82,38,1980,0.42,0.06,294
16,Rainy Season,Tidal Root,reggae,chill,0.53,84,0.72,0.67,0.61,57,1990,0.28,0.10,232
17,Ascension,The Hollow Choir,classical,peaceful,0.22,58,0.68,0.20,0.95,44,1990,0.15,0.96,386
18,Block Party,Kase 1,hip-hop,happy,0.81,98,0.80,0.90,0.12,85,2010,0.08,0.02,198
19,Ember Glow,Sienna Vale,soul,emotional,0.63,104,0.76,0.65,0.55,60,2000,0.16,0.07,248
20,Porch Light,The Wayfarers,folk,reflective,0.31,68,0.62,0.38,0.88,48,2010,0.25,0.18,204
